date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:47	249533/249533	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:27%20GMT	http://inventheme.com/themeforest/alexio/static/img/title-1.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/title-1.jpg	(from http://inventheme.com/themeforest/alexio/)
11:56:56	303537/303537	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:19%20GMT	http://inventheme.com/themeforest/alexio/static/img/my-pic.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/my-pic.jpg	(from http://inventheme.com/themeforest/alexio/)
11:57:00	25612/25612	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:17%20GMT	http://inventheme.com/themeforest/alexio/static/img/portfolio-1.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/portfolio-1.jpg	(from http://inventheme.com/themeforest/alexio/)
11:57:06	34539/34539	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:18%20GMT	http://inventheme.com/themeforest/alexio/static/img/portfolio-2.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/portfolio-2.jpg	(from http://inventheme.com/themeforest/alexio/)
11:57:12	157532/157532	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:30%20GMT	http://inventheme.com/themeforest/alexio/static/img/title-3.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/title-3.jpg	(from http://inventheme.com/themeforest/alexio/)
11:57:14	44363/44363	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:19%20GMT	http://inventheme.com/themeforest/alexio/static/img/portfolio-3.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/portfolio-3.jpg	(from http://inventheme.com/themeforest/alexio/)
11:57:19	446301/446301	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:28%20GMT	http://inventheme.com/themeforest/alexio/static/img/title-2.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/title-2.jpg	(from http://inventheme.com/themeforest/alexio/)
11:57:25	535553/535553	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Dec%202018%2002:29:38%20GMT	http://inventheme.com/themeforest/alexio/static/img/user.png	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/user.png	(from http://inventheme.com/themeforest/alexio/)
11:57:26	86562/86562	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:21%20GMT	http://inventheme.com/themeforest/alexio/static/img/portfolio-4.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/portfolio-4.jpg	(from http://inventheme.com/themeforest/alexio/)
11:57:26	40402/40402	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:23%20GMT	http://inventheme.com/themeforest/alexio/static/img/portfolio-6.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/portfolio-6.jpg	(from http://inventheme.com/themeforest/alexio/)
11:57:27	6561/6561	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:14%20GMT	http://inventheme.com/themeforest/alexio/static/img/avtar1.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/avtar1.jpg	(from http://inventheme.com/themeforest/alexio/)
11:57:27	82037/82037	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Dec%202018%2002:29:22%20GMT	http://inventheme.com/themeforest/alexio/static/img/portfolio-5.jpg	C:/wamp64/www/personal2/inventheme.com/themeforest/alexio/static/img/portfolio-5.jpg	(from http://inventheme.com/themeforest/alexio/)
